sep=;
Anlagennummer;Zaehlpunkt;Tarif;Verbrauchszeitraum Beginn;Verbrauchszeitraum Ende;Verbrauch;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;28.04.2022 00:00;28.04.2022 00:15;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 00:15;28.04.2022 00:30;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 00:30;28.04.2022 00:45;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 00:45;28.04.2022 01:00;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 01:00;28.04.2022 01:15;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 01:15;28.04.2022 01:30;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 01:30;28.04.2022 01:45;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 01:45;28.04.2022 02:00;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 02:00;28.04.2022 02:15;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 02:15;28.04.2022 02:30;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 02:30;28.04.2022 02:45;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 02:45;28.04.2022 03:00;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 03:00;28.04.2022 03:15;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 03:15;28.04.2022 03:30;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 03:30;28.04.2022 03:45;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 03:45;28.04.2022 04:00;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 04:00;28.04.2022 04:15;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 04:15;28.04.2022 04:30;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 04:30;28.04.2022 04:45;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 04:45;28.04.2022 05:00;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 05:00;28.04.2022 05:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 05:15;28.04.2022 05:30;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 05:30;28.04.2022 05:45;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 05:45;28.04.2022 06:00;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 06:00;28.04.2022 06:15;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 06:15;28.04.2022 06:30;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 06:30;28.04.2022 06:45;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 06:45;28.04.2022 07:00;0,046;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 07:00;28.04.2022 07:15;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 07:15;28.04.2022 07:30;0,037;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 07:30;28.04.2022 07:45;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 07:45;28.04.2022 08:00;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 08:00;28.04.2022 08:15;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 08:15;28.04.2022 08:30;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 08:30;28.04.2022 08:45;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 08:45;28.04.2022 09:00;0,037;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 09:00;28.04.2022 09:15;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 09:15;28.04.2022 09:30;0,008;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 09:30;28.04.2022 09:45;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 09:45;28.04.2022 10:00;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 10:00;28.04.2022 10:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 10:15;28.04.2022 10:30;0,007;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 10:30;28.04.2022 10:45;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 10:45;28.04.2022 11:00;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 11:00;28.04.2022 11:15;0,007;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 11:15;28.04.2022 11:30;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 11:30;28.04.2022 11:45;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 11:45;28.04.2022 12:00;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 12:00;28.04.2022 12:15;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 12:15;28.04.2022 12:30;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 12:30;28.04.2022 12:45;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 12:45;28.04.2022 13:00;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 13:00;28.04.2022 13:15;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 13:15;28.04.2022 13:30;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 13:30;28.04.2022 13:45;0,005;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 13:45;28.04.2022 14:00;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 14:00;28.04.2022 14:15;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 14:15;28.04.2022 14:30;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 14:30;28.04.2022 14:45;0,005;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 14:45;28.04.2022 15:00;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:00;28.04.2022 15:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:15;28.04.2022 15:30;0,005;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:30;28.04.2022 15:45;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:45;28.04.2022 16:00;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:00;28.04.2022 16:15;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:15;28.04.2022 16:30;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:30;28.04.2022 16:45;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:45;28.04.2022 17:00;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:00;28.04.2022 17:15;0,007;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:15;28.04.2022 17:30;0,033;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:30;28.04.2022 17:45;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:45;28.04.2022 18:00;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:00;28.04.2022 18:15;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:15;28.04.2022 18:30;0,034;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:30;28.04.2022 18:45;0,092;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:45;28.04.2022 19:00;0,089;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:00;28.04.2022 19:15;0,113;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:15;28.04.2022 19:30;0,074;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:30;28.04.2022 19:45;0,073;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:45;28.04.2022 20:00;0,06;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:00;28.04.2022 20:15;0,244;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:15;28.04.2022 20:30;0,296;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:30;28.04.2022 20:45;0,054;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:45;28.04.2022 21:00;0,046;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:00;28.04.2022 21:15;0,067;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:15;28.04.2022 21:30;0,198;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:30;28.04.2022 21:45;0,333;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:45;28.04.2022 22:00;0,048;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:00;28.04.2022 22:15;0,044;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:15;28.04.2022 22:30;0,029;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:30;28.04.2022 22:45;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:45;28.04.2022 23:00;0,045;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:00;28.04.2022 23:15;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:15;28.04.2022 23:30;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:30;28.04.2022 23:45;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:45;29.04.2022 00:00;0,033;KWH;VAL
