"Datum","AT0051000602000000000000000000000 ab 21.02.2024 00:30"
"25.02.2024 11:30","0.045"
"25.02.2024 11:45","0.031"
"25.02.2024 12:00","0.013"
"25.02.2024 12:15","0.014"
"25.02.2024 12:30","0.02"
"25.02.2024 12:45","0.017"
"25.02.2024 13:00","0.015"
"25.02.2024 13:15","0.019"
"25.02.2024 13:30","0.016"
"25.02.2024 13:45","0.04"
"25.02.2024 14:00","0.04"
"25.02.2024 14:15","0.034"
"25.02.2024 14:30","0.365"
"25.02.2024 14:45","0.494"
"25.02.2024 15:00","0.043"
"25.02.2024 15:15","0.028"
"25.02.2024 15:30","0.03"
"25.02.2024 15:45","0.05"
"25.02.2024 16:00","0.09"
"25.02.2024 16:15","0.029"
"25.02.2024 16:30","0.037"
"25.02.2024 16:45","0.03"
"25.02.2024 17:00","0.043"
"25.02.2024 17:15","0.065"
"25.02.2024 17:30","0.202"
"25.02.2024 17:45","0.808"
"25.02.2024 18:00","0.487"
"25.02.2024 18:15","0.342"
"25.02.2024 18:30","0.307"
"25.02.2024 18:45","0.309"
"25.02.2024 19:00","0.286"
"25.02.2024 19:15","0.279"
"25.02.2024 19:30","0.251"
"25.02.2024 19:45","0.172"
"25.02.2024 20:00","0.057"
"25.02.2024 20:15","0.106"
"25.02.2024 20:30","0.058"
"25.02.2024 20:45","0.05"
"25.02.2024 21:00","0.039"
"25.02.2024 21:15","0.036"
"25.02.2024 21:30","0.031"
"25.02.2024 21:45","0.031"
"25.02.2024 22:00","0.034"
"25.02.2024 22:15","0.03"
"25.02.2024 22:30","0.03"
"25.02.2024 22:45","0.033"
"25.02.2024 23:00","0.011"
"25.02.2024 23:15","0.013"
"25.02.2024 23:30","0.01"
"25.02.2024 23:45","0.009"
"26.02.2024 00:00","0.015"
"26.02.2024 00:15","0.018"
"26.02.2024 00:30","0.02"
"26.02.2024 00:45","0.022"
"26.02.2024 01:00","0.029"
"26.02.2024 01:15","0.04"
"26.02.2024 01:30","0.029"
"26.02.2024 01:45","0.026"
"26.02.2024 02:00","0.041"
"26.02.2024 02:15","0.027"
"26.02.2024 02:30","0.024"
"26.02.2024 02:45","0.02"
"26.02.2024 03:00","0.009"
"26.02.2024 03:15","0.011"
"26.02.2024 03:30","0.02"
"26.02.2024 03:45","0.009"
"26.02.2024 04:00","0.013"
"26.02.2024 04:15","0.017"
"26.02.2024 04:30","0.019"
"26.02.2024 04:45","0.035"
"26.02.2024 05:00","0.036"
"26.02.2024 05:15","0.029"
"26.02.2024 05:30","0.03"
"26.02.2024 05:45","0.028"
"26.02.2024 06:00","0.032"
"26.02.2024 06:15","0.02"
"26.02.2024 06:30","0.008"
"26.02.2024 06:45","0.012"
"26.02.2024 07:00","0.006"
"26.02.2024 07:15","0.045"
"26.02.2024 07:30","0.087"
"26.02.2024 07:45","0.038"
"26.02.2024 08:00","0.014"
"26.02.2024 08:15","0.027"
"26.02.2024 08:30","0.028"
"26.02.2024 08:45","0.032"
"26.02.2024 09:00","0.025"
"26.02.2024 09:15","0.028"
"26.02.2024 09:30","0.028"
"26.02.2024 09:45","0.012"
"26.02.2024 10:00","0.011"
"26.02.2024 10:15","0.008"
"26.02.2024 10:30","0.008"
"26.02.2024 10:45","0.012"
"26.02.2024 11:00","0.007"
"26.02.2024 11:15","0.009"
"26.02.2024 11:30","0.01"
"26.02.2024 11:45","0.025"
"26.02.2024 12:00","0.035"
"26.02.2024 12:15","0.028"
"26.02.2024 12:30","0.026"
"26.02.2024 12:45","0.036"
"26.02.2024 13:00","0.027"
"26.02.2024 13:15","0.055"
"26.02.2024 13:30","0.317"
"26.02.2024 13:45","0.515"
"26.02.2024 14:00","0.046"
"26.02.2024 14:15","0.236"
"26.02.2024 14:30","0.811"
"26.02.2024 14:45","0.709"
"26.02.2024 15:00","0.02"
"26.02.2024 15:15","0.008"
"26.02.2024 15:30","0.019"
"26.02.2024 15:45","0.027"
"26.02.2024 16:00","0.029"
"26.02.2024 16:15","0.029"
"26.02.2024 16:30","0.024"
"26.02.2024 16:45","0.029"
"26.02.2024 17:00","0.026"
"26.02.2024 17:15","0.022"
"26.02.2024 17:30","0.294"
"26.02.2024 17:45","0.086"
"26.02.2024 18:00","0.066"
"26.02.2024 18:15","0.064"
"26.02.2024 18:30","0.031"
"26.02.2024 18:45","0.024"
"26.02.2024 19:00","0.036"
"26.02.2024 19:15","0.032"
"26.02.2024 19:30","0.038"
"26.02.2024 19:45","0.041"
"26.02.2024 20:00","0.034"
"26.02.2024 20:15","0.051"
"26.02.2024 20:30","0.082"
"26.02.2024 20:45","0.126"
"26.02.2024 21:00","0.047"
"26.02.2024 21:15","0.047"
"26.02.2024 21:30","0.031"
"26.02.2024 21:45","0.011"
"26.02.2024 22:00","0.013"
"26.02.2024 22:15","0.022"
"26.02.2024 22:30","0.022"
"26.02.2024 22:45","0.037"
"26.02.2024 23:00","0.039"
"26.02.2024 23:15","0.031"
"26.02.2024 23:30","0.032"
"26.02.2024 23:45","0.027"
"27.02.2024 00:00","0.029"
"27.02.2024 00:15","0.023"
"27.02.2024 00:30","0.013"
"27.02.2024 00:45","0.012"
"27.02.2024 01:00","0.015"
"27.02.2024 01:15","0.014"
"27.02.2024 01:30","0.012"
"27.02.2024 01:45","0.012"
"27.02.2024 02:00","0.029"
"27.02.2024 02:15","0.032"
"27.02.2024 02:30","0.032"
"27.02.2024 02:45","0.035"
"27.02.2024 03:00","0.028"
"27.02.2024 03:15","0.031"
"27.02.2024 03:30","0.034"
"27.02.2024 03:45","0.009"
"27.02.2024 04:00","0.011"
"27.02.2024 04:15","0.02"
"27.02.2024 04:30","0.006"
"27.02.2024 04:45","0.013"
"27.02.2024 05:00","0.02"
"27.02.2024 05:15","0.007"
"27.02.2024 05:30","0.029"
"27.02.2024 05:45","0.033"
"27.02.2024 06:00","0.029"
"27.02.2024 06:15","0.032"
"27.02.2024 06:30","0.026"
"27.02.2024 06:45","0.027"
"27.02.2024 07:00","0.025"
"27.02.2024 07:15","0.043"
"27.02.2024 07:30","0.094"
"27.02.2024 07:45","0.035"
"27.02.2024 08:00","0.008"
"27.02.2024 08:15","0.014"
"27.02.2024 08:30","0.009"
"27.02.2024 08:45","0.01"
"27.02.2024 09:00","0.028"
"27.02.2024 09:15","0.029"
"27.02.2024 09:30","0.032"
"27.02.2024 09:45","0.03"
"27.02.2024 10:00","0.027"
"27.02.2024 10:15","0.032"
"27.02.2024 10:30","0.01"
"27.02.2024 10:45","0.009"
"27.02.2024 11:00","0.014"
"27.02.2024 11:15","0.008"
"27.02.2024 11:30","0.011"
"27.02.2024 11:45","0.012"
"27.02.2024 12:00","0.01"
"27.02.2024 12:15","0.368"
"27.02.2024 12:30","0.36"
"27.02.2024 12:45","0.028"
"27.02.2024 13:00","0.033"
"27.02.2024 13:15","0.028"
"27.02.2024 13:30","0.029"
"27.02.2024 13:45","0.027"
"27.02.2024 14:00","0.023"
"27.02.2024 14:15","0.011"
"27.02.2024 14:30","0.006"
"27.02.2024 14:45","0.01"
"27.02.2024 15:00","0.01"
"27.02.2024 15:15","0.006"
"27.02.2024 15:30","0.012"
"27.02.2024 15:45","0.008"
"27.02.2024 16:00","0.017"
"27.02.2024 16:15","0.034"
"27.02.2024 16:30","0.316"
"27.02.2024 16:45","0.404"
"27.02.2024 17:00","0.096"
"27.02.2024 17:15","0.043"
"27.02.2024 17:30","0.051"
"27.02.2024 17:45","0.045"
"27.02.2024 18:00","0.038"
"27.02.2024 18:15","0.073"
"27.02.2024 18:30","0.02"
"27.02.2024 18:45","0.028"
"27.02.2024 19:00","0.046"
"27.02.2024 19:15","0.042"
"27.02.2024 19:30","0.136"
"27.02.2024 19:45","0.383"
"27.02.2024 20:00","0.278"
"27.02.2024 20:15","0.095"
"27.02.2024 20:30","0.074"
"27.02.2024 20:45","0.084"
"27.02.2024 21:00","0.092"
"27.02.2024 21:15","0.083"
"27.02.2024 21:30","0.09"
"27.02.2024 21:45","0.055"
"27.02.2024 22:00","0.046"
"27.02.2024 22:15","0.077"
"27.02.2024 22:30","0.07"
"27.02.2024 22:45","0.062"
"27.02.2024 23:00","0.069"
"27.02.2024 23:15","0.058"
"27.02.2024 23:30","0.044"
"27.02.2024 23:45","0.024"
"28.02.2024 00:00","0.011"
"28.02.2024 00:15","0.023"
"28.02.2024 00:30","0.02"
"28.02.2024 00:45","0.011"
"28.02.2024 01:00","0.016"
"28.02.2024 01:15","0.039"
"28.02.2024 01:30","0.035"
"28.02.2024 01:45","0.029"
"28.02.2024 02:00","0.033"
"28.02.2024 02:15","0.038"
"28.02.2024 02:30","0.011"
"28.02.2024 02:45","0.012"
"28.02.2024 03:00","0.021"
"28.02.2024 03:15","0.006"
"28.02.2024 03:30","0.014"
"28.02.2024 03:45","0.02"
"28.02.2024 04:00","0.008"
"28.02.2024 04:15","0.03"
"28.02.2024 04:30","0.038"
"28.02.2024 04:45","0.03"
"28.02.2024 05:00","0.03"
"28.02.2024 05:15","0.035"
"28.02.2024 05:30","0.027"
"28.02.2024 05:45","0.01"
"28.02.2024 06:00","0.009"
"28.02.2024 06:15","0.013"
"28.02.2024 06:30","0.008"
"28.02.2024 06:45","0.008"
"28.02.2024 07:00","0.012"
"28.02.2024 07:15","0.027"
"28.02.2024 07:30","0.098"
"28.02.2024 07:45","0.143"
"28.02.2024 08:00","0.151"
"28.02.2024 08:15","0.03"
"28.02.2024 08:30","0.027"
"28.02.2024 08:45","0.013"
"28.02.2024 09:00","0.012"
"28.02.2024 09:15","0.007"
"28.02.2024 09:30","0.009"
"28.02.2024 09:45","0.011"
"28.02.2024 10:00","0.006"
"28.02.2024 10:15","0.01"
"28.02.2024 10:30","0.018"
"28.02.2024 10:45","0.028"
"28.02.2024 11:00","0.032"
"28.02.2024 11:15","0.027"
"28.02.2024 11:30","0.026"
"28.02.2024 11:45","0.023"
"28.02.2024 12:00","0.009"
"28.02.2024 12:15","0.309"
"28.02.2024 12:30","0.239"
"28.02.2024 12:45","0.006"
"28.02.2024 13:00","0.233"
"28.02.2024 13:15","0.777"
"28.02.2024 13:30","0.181"
"28.02.2024 13:45","0.541"
"28.02.2024 14:00","0.09"
"28.02.2024 14:15","0.086"
"28.02.2024 14:30","0.296"
"28.02.2024 14:45","0.353"
"28.02.2024 15:00","0.04"
"28.02.2024 15:15","0.015"
"28.02.2024 15:30","0.009"
"28.02.2024 15:45","0.019"
"28.02.2024 16:00","0.012"
"28.02.2024 16:15","0.024"
"28.02.2024 16:30","0.025"
"28.02.2024 16:45","0.031"
"28.02.2024 17:00","0.055"
"28.02.2024 17:15","0.064"
"28.02.2024 17:30","0.031"
"28.02.2024 17:45","0.331"
"28.02.2024 18:00","0.112"
"28.02.2024 18:15","0.042"
"28.02.2024 18:30","0.281"
"28.02.2024 18:45","0.268"
"28.02.2024 19:00","0.089"
"28.02.2024 19:15","0.068"
"28.02.2024 19:30","0.08"
"28.02.2024 19:45","0.065"
"28.02.2024 20:00","0.059"
"28.02.2024 20:15","0.026"
"28.02.2024 20:30","0.012"
"28.02.2024 20:45","0.015"
"28.02.2024 21:00","0.046"
"28.02.2024 21:15","0.037"
"28.02.2024 21:30","0.03"
"28.02.2024 21:45","0.034"
"28.02.2024 22:00","0.021"
"28.02.2024 22:15","0.02"
"28.02.2024 22:30","0.021"
"28.02.2024 22:45","0.008"
"28.02.2024 23:00","0.015"
"28.02.2024 23:15","0.012"
"28.02.2024 23:30","0.008"
"28.02.2024 23:45","0.037"
"29.02.2024 00:00","0.027"
"29.02.2024 00:15","0.039"
"29.02.2024 00:30","0.039"
"29.02.2024 00:45","0.025"
"29.02.2024 01:00","0.012"
"29.02.2024 01:15","0.019"
"29.02.2024 01:30","0.011"
"29.02.2024 01:45","0.019"
"29.02.2024 02:00","0.021"
"29.02.2024 02:15","0.013"
"29.02.2024 02:30","0.035"
"29.02.2024 02:45","0.052"
"29.02.2024 03:00","0.04"
"29.02.2024 03:15","0.04"
"29.02.2024 03:30","0.041"
"29.02.2024 03:45","0.046"
"29.02.2024 04:00","0.017"
"29.02.2024 04:15","0.013"
"29.02.2024 04:30","0.018"
"29.02.2024 04:45","0.013"
"29.02.2024 05:00","0.018"
"29.02.2024 05:15","0.011"
"29.02.2024 05:30","0.015"
"29.02.2024 05:45","0.037"
"29.02.2024 06:00","0.029"
"29.02.2024 06:15","0.026"
"29.02.2024 06:30","0.032"
"29.02.2024 06:45","0.026"
"29.02.2024 07:00","0.01"
"29.02.2024 07:15","0.025"
"29.02.2024 07:30","0.078"
"29.02.2024 07:45","0.064"
"29.02.2024 08:00","0.017"
"29.02.2024 08:15","0.338"
"29.02.2024 08:30","0.049"
"29.02.2024 08:45","0.043"
"29.02.2024 09:00","0.043"
"29.02.2024 09:15","0.047"
"29.02.2024 09:30","0.031"
"29.02.2024 09:45","0.032"
"29.02.2024 10:00","0.015"
"29.02.2024 10:15","0.01"
"29.02.2024 10:30","0.016"
"29.02.2024 10:45","0.008"
"29.02.2024 11:00","0.008"
"29.02.2024 11:15","0.306"
"29.02.2024 11:30","0.507"
"29.02.2024 11:45","0.205"
"29.02.2024 12:00","0.361"
"29.02.2024 12:15","0.237"
"29.02.2024 12:30","0.05"
"29.02.2024 12:45","0.144"
"29.02.2024 13:00","0.629"
"29.02.2024 13:15","0.406"
"29.02.2024 13:30","0.47"
"29.02.2024 13:45","0.367"
"29.02.2024 14:00","1"
"29.02.2024 14:15","0.368"
"29.02.2024 14:30","0.153"
"29.02.2024 14:45","0.025"
"29.02.2024 15:00","0.016"
"29.02.2024 15:15","0.042"
"29.02.2024 15:30","0.033"
"29.02.2024 15:45","0.027"
"29.02.2024 16:00","0.031"
"29.02.2024 16:15","0.031"
"29.02.2024 16:30","0.064"
"29.02.2024 16:45","0.061"
"29.02.2024 17:00","0.056"
"29.02.2024 17:15","0.047"
"29.02.2024 17:30","0.415"
"29.02.2024 17:45","0.429"
"29.02.2024 18:00","0.049"
"29.02.2024 18:15","0.077"
"29.02.2024 18:30","0.085"
"29.02.2024 18:45","0.087"
"29.02.2024 19:00","0.088"
"29.02.2024 19:15","0.118"
"29.02.2024 19:30","0.116"
"29.02.2024 19:45","0.095"
"29.02.2024 20:00","0.188"
"29.02.2024 20:15","0.427"
"29.02.2024 20:30","0.327"
"29.02.2024 20:45","0.31"
"29.02.2024 21:00","0.301"
"29.02.2024 21:15","0.14"
"29.02.2024 21:30","0.046"
"29.02.2024 21:45","0.036"
"29.02.2024 22:00","0.047"
"29.02.2024 22:15","0.032"
"29.02.2024 22:30","0.033"
"29.02.2024 22:45","0.042"
"29.02.2024 23:00","0.03"
"29.02.2024 23:15","0.014"
"29.02.2024 23:30","0.011"
"29.02.2024 23:45","0.009"