Datum von;Datum bis;Verbrauch in kWh;Ersatzwert
03.07.2024 00:00;03.07.2024 00:15;0,004;
03.07.2024 00:15;03.07.2024 00:30;0,004;
03.07.2024 00:30;03.07.2024 00:45;0,004;
03.07.2024 00:45;03.07.2024 01:00;0,008;
03.07.2024 01:00;03.07.2024 01:15;0,017;
03.07.2024 01:15;03.07.2024 01:30;0,016;
03.07.2024 01:30;03.07.2024 01:45;0,011;
03.07.2024 01:45;03.07.2024 02:00;0,004;
03.07.2024 02:00;03.07.2024 02:15;0,004;
03.07.2024 02:15;03.07.2024 02:30;0,004;
03.07.2024 02:30;03.07.2024 02:45;0,004;
03.07.2024 02:45;03.07.2024 03:00;0,016;
03.07.2024 03:00;03.07.2024 03:15;0,016;
03.07.2024 03:15;03.07.2024 03:30;0,015;
03.07.2024 03:30;03.07.2024 03:45;0,004;
03.07.2024 03:45;03.07.2024 04:00;0,004;
03.07.2024 04:00;03.07.2024 04:15;0,004;
03.07.2024 04:15;03.07.2024 04:30;0,004;
03.07.2024 04:30;03.07.2024 04:45;0,010;
03.07.2024 04:45;03.07.2024 05:00;0,203;
03.07.2024 05:00;03.07.2024 05:15;0,197;
03.07.2024 05:15;03.07.2024 05:30;0,009;
03.07.2024 05:30;03.07.2024 05:45;0,004;
03.07.2024 05:45;03.07.2024 06:00;0,004;
03.07.2024 06:00;03.07.2024 06:15;0,043;
03.07.2024 06:15;03.07.2024 06:30;0,063;
03.07.2024 06:30;03.07.2024 06:45;0,030;
03.07.2024 06:45;03.07.2024 07:00;0,039;
03.07.2024 07:00;03.07.2024 07:15;0,031;
03.07.2024 07:15;03.07.2024 07:30;0,030;
03.07.2024 07:30;03.07.2024 07:45;0,033;
03.07.2024 07:45;03.07.2024 08:00;0,031;
03.07.2024 08:00;03.07.2024 08:15;0,040;
03.07.2024 08:15;03.07.2024 08:30;0,046;
03.07.2024 08:30;03.07.2024 08:45;0,100;
03.07.2024 08:45;03.07.2024 09:00;0,088;
03.07.2024 09:00;03.07.2024 09:15;0,306;
03.07.2024 09:15;03.07.2024 09:30;0,161;
03.07.2024 09:30;03.07.2024 09:45;0,039;
03.07.2024 09:45;03.07.2024 10:00;0,040;
03.07.2024 10:00;03.07.2024 10:15;0,035;
03.07.2024 10:15;03.07.2024 10:30;0,032;
03.07.2024 10:30;03.07.2024 10:45;0,026;
03.07.2024 10:45;03.07.2024 11:00;0,030;
03.07.2024 11:00;03.07.2024 11:15;0,030;
03.07.2024 11:15;03.07.2024 11:30;0,031;
03.07.2024 11:30;03.07.2024 11:45;0,057;
03.07.2024 11:45;03.07.2024 12:00;0,062;
03.07.2024 12:00;03.07.2024 12:15;0,039;
03.07.2024 12:15;03.07.2024 12:30;0,226;
03.07.2024 12:30;03.07.2024 12:45;0,363;
03.07.2024 12:45;03.07.2024 13:00;0,036;
03.07.2024 13:00;03.07.2024 13:15;0,045;
03.07.2024 13:15;03.07.2024 13:30;0,048;
03.07.2024 13:30;03.07.2024 13:45;0,055;
03.07.2024 13:45;03.07.2024 14:00;0,043;
03.07.2024 14:00;03.07.2024 14:15;0,033;
03.07.2024 14:15;03.07.2024 14:30;0,017;
03.07.2024 14:30;03.07.2024 14:45;0,010;
03.07.2024 14:45;03.07.2024 15:00;0,010;
03.07.2024 15:00;03.07.2024 15:15;0,022;
03.07.2024 15:15;03.07.2024 15:30;0,023;
03.07.2024 15:30;03.07.2024 15:45;0,052;
03.07.2024 15:45;03.07.2024 16:00;0,050;
03.07.2024 16:00;03.07.2024 16:15;0,050;
03.07.2024 16:15;03.07.2024 16:30;0,446;
03.07.2024 16:30;03.07.2024 16:45;0,050;
03.07.2024 16:45;03.07.2024 17:00;0,057;
03.07.2024 17:00;03.07.2024 17:15;0,056;
03.07.2024 17:15;03.07.2024 17:30;0,058;
03.07.2024 17:30;03.07.2024 17:45;0,050;
03.07.2024 17:45;03.07.2024 18:00;0,046;
03.07.2024 18:00;03.07.2024 18:15;0,044;
03.07.2024 18:15;03.07.2024 18:30;0,045;
03.07.2024 18:30;03.07.2024 18:45;0,046;
03.07.2024 18:45;03.07.2024 19:00;0,057;
03.07.2024 19:00;03.07.2024 19:15;0,056;
03.07.2024 19:15;03.07.2024 19:30;0,054;
03.07.2024 19:30;03.07.2024 19:45;0,045;
03.07.2024 19:45;03.07.2024 20:00;0,045;
03.07.2024 20:00;03.07.2024 20:15;0,043;
03.07.2024 20:15;03.07.2024 20:30;0,036;
03.07.2024 20:30;03.07.2024 20:45;0,275;
03.07.2024 20:45;03.07.2024 21:00;0,205;
03.07.2024 21:00;03.07.2024 21:15;0,016;
03.07.2024 21:15;03.07.2024 21:30;0,006;
03.07.2024 21:30;03.07.2024 21:45;0,004;
03.07.2024 21:45;03.07.2024 22:00;0,004;
03.07.2024 22:00;03.07.2024 22:15;0,004;
03.07.2024 22:15;03.07.2024 22:30;0,009;
03.07.2024 22:30;03.07.2024 22:45;0,016;
03.07.2024 22:45;03.07.2024 23:00;0,016;
03.07.2024 23:00;03.07.2024 23:15;0,011;
03.07.2024 23:15;03.07.2024 23:30;0,004;
03.07.2024 23:30;03.07.2024 23:45;0,004;
03.07.2024 23:45;04.07.2024 00:00;0,004;